Date,Open,High,Low,Close,Adj Close,Volume
2018-04-05,289.339996,306.26001,288.200012,305.720001,305.720001,19121100
2016-02-12,155,157.009995,143.699997,151.039993,151.039993,7235800
2015-08-18,255.380005,260.950012,253.559998,260.720001,260.720001,4195000
2019-11-11,343.950012,349.190002,342,345.089996,345.089996,9986700
2019-09-04,226.889999,228.460007,219.210007,220.679993,220.679993,5761000
2019-07-01,230.210007,233.100006,226.279999,227.169998,227.169998,8238000
2010-12-30,27.700001,27.9,26.379999,26.5,26.5,2041100
2011-03-04,24.48,24.99,23.780001,24.950001,24.950001,1580100
2011-09-14,24.25,24.84,23.790001,24.34,24.34,830800
2020-01-21,530.25,548.580017,528.409973,547.200012,547.200012,17803500
2012-09-06,28,28.9,27.9,28.549999,28.549999,841700
2011-08-15,26.620001,26.75,25.93,26.23,26.23,738600
2012-10-15,28.02,28.049999,26.860001,27.33,27.33,1468700
2011-08-25,23.870001,23.870001,22.9,23.110001,23.110001,679800
2016-01-26,196.699997,197.820007,188.880005,193.559998,193.559998,4964200
2013-05-28,101.550003,110.75,100.300003,110.330002,110.330002,19691900
2014-01-29,175.300003,179.089996,173.130005,175.229996,175.229996,5935500
2015-05-12,240.110001,246.350006,238.190002,244.740005,244.740005,6363400
2019-03-18,276,278.049988,267.299988,269.48999,269.48999,10281000
2017-11-21,310.859985,318.230011,308.709991,317.809998,317.809998,7261300
2016-08-10,228.240005,229.869995,224.619995,225.649994,225.649994,2338300
2016-06-28,201.889999,204.050003,199.410004,201.789993,201.789993,6212400
2018-06-25,330.119995,338.470001,327.5,333.01001,333.01001,6931300
2015-08-24,202.789993,231.399994,195,218.869995,218.869995,9581600
2018-03-02,326.980011,335.220001,322.970001,335.119995,335.119995,5092800
2019-01-31,301,311.559998,294,307.019989,307.019989,12569200
2011-06-13,28.07,28.879999,27.879999,28.43,28.43,1713400
2015-07-30,262.690002,266.940002,262.109985,266.790009,266.790009,2034600
